Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Market_Volume,PMI_Volume,Market_Share
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
Marrakech,-0.114942183900,8.31372972,2.475260288,2.8,3.368511956,228763830,129038000,0.5640664435
