Year,Product Category,Location,DF_Market,TMO,Brand Family,CR_BrandId,DF_Vol,Flavor,Taste,Thickness,Length,cum_volume,cum_pct
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,90020,34736.0,NTD Caps,Full Flavor,SSL,100,34736.0,2.953598839783929
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,90020,34736.0,NTD Caps,Full Flavor,SSL,100,69472.0,5.907197679567858
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,90020,34736.0,NTD Caps,Full Flavor,SSL,100,104208.0,8.860796519351787
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,52172,21853.2,Regular,Lights,SSL,100,126061.2,10.71897207685887
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,52172,21853.2,Regular,Lights,SSL,100,147914.4,12.57714763436596
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,52172,21853.2,Regular,Lights,SSL,100,169767.6,14.43532319187305
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,122331,15867.4,NTD Caps,Full Flavor,SSL,100,185635.0,15.7845267337428
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,122331,15867.4,NTD Caps,Full Flavor,SSL,100,201502.4,17.13373027561254
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,122331,15867.4,NTD Caps,Full Flavor,SSL,100,217369.8,18.48293381748229
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,56480,14657.6,Regular,Full Flavor,SSL,100,232027.4,19.72926817820364
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,56480,14657.6,Regular,Full Flavor,SSL,100,246685.0,20.975602538925
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,56480,14657.6,Regular,Full Flavor,SSL,100,261342.6,22.22193689964635
2024,Cigarettes,Jeju,South Korea,JTI,MEVIUS,87832,12446.4,Regular,Full Flavor,STD,KS,273789.0,23.28025313063111
2024,Cigarettes,Jeju,South Korea,JTI,MEVIUS,87832,12446.4,Regular,Full Flavor,STD,KS,286235.4,24.33856936161587
2024,Cigarettes,Jeju,South Korea,JTI,MEVIUS,87832,12446.4,Regular,Full Flavor,STD,KS,298681.8,25.39688559260064
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,52950,11438.6,Regular,Full Flavor,SSL,100,310120.4,26.3695086835942
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,52950,11438.6,Regular,Full Flavor,SSL,100,321559.0,27.34213177458776
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,52950,11438.6,Regular,Full Flavor,SSL,100,332997.6,28.31475486558133
2024,Cigarettes,Jeju,South Korea,KT & G,RAISON,102693,10940.8,NTD Caps,Full Flavor,STD,KS,343938.4,29.24505006901028
2024,Cigarettes,Jeju,South Korea,KT & G,RAISON,102693,10940.8,NTD Caps,Full Flavor,STD,KS,354879.2,30.17534527243922
2024,Cigarettes,Jeju,South Korea,KT & G,RAISON,102693,10940.8,NTD Caps,Full Flavor,STD,KS,365819.9999999999,31.10564047586817
2024,Cigarettes,Jeju,South Korea,KT & G,THIS,46910,10715.0,Regular,Full Flavor,STD,KS,376534.9999999999,32.01673592636002
2024,Cigarettes,Jeju,South Korea,KT & G,THIS,46910,10715.0,Regular,Full Flavor,STD,KS,387249.9999999999,32.92783137685187
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,106177,9719.0,NTD Caps,Full Flavor,SSL,100,396968.9999999999,33.7542370402518
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,106177,9719.0,NTD Caps,Full Flavor,SSL,100,406687.9999999999,34.58064270365173
2024,Cigarettes,Jeju,South Korea,KT & G,ESSE,106177,9719.0,NTD Caps,Full Flavor,SSL,100,416406.9999999999,35.40704836705166
2024,Cigarettes,Jeju,South Korea,BAT,DUNHILL,97342,9423.0,Regular,Full Flavor,STD,KS,425829.9999999999,36.20828517806282
2024,Cigarettes,Jeju,South Korea,BAT,DUNHILL,97342,9423.0,Regular,Full Flavor,STD,KS,435252.9999999999,37.009521989074
2024,Cigarettes,Jeju,South Korea,BAT,DUNHILL,97342,9423.0,Regular,Full Flavor,STD,KS,444675.9999999999,37.81075880008517
2024,Cigarettes,Jeju,South Korea,BAT,DUNHILL,97339,9107.8,Regular,Full Flavor,STD,KS,453783.7999999999,38.58519418449858
2024,Cigarettes,Jeju,South Korea,BAT,DUNHILL,97339,9107.8,Regular,Full Flavor,STD,KS,462891.5999999999,39.35962956891198
2024,Cigarettes,Jeju,South Korea,BAT,DUNHILL,97339,9107.8,Regular,Full Flavor,STD,KS,471999.3999999999,40.13406495332539
2024,Cigarettes,Jeju,South Korea,KT & G,THE ONE,52616,8529.6,Regular,Full Flavor,STD,KS,480528.9999999999,40.85933604567398
